Flach et al, J Phys Chem B, vol 101, no 1, 1997
Figure 3 - methylene stretching vib for p-polarization, RA @ 45 deg
wn, mRAU
2998.208955223881, 65.44117647058823
2994.0298507462685, 64.8529411764706
2994.626865671642, 63.6764705882353
2994.0298507462685, 64.8529411764706
2986.865671641791, 65.73529411764706
2982.686567164179, 65.29411764705883
2977.313432835821, 64.11764705882354
2971.3432835820895, 65.14705882352942
2968.955223880597, 65.58823529411765
2968.955223880597, 65.58823529411765
2967.1641791044776, 64.55882352941177
2964.179104477612, 63.6764705882353
2962.3880597014927, 62.5
2960, 63.38235294117647
2956.417910447761, 63.529411764705884
2952.8358208955224, 63.97058823529412
2950.4477611940297, 64.70588235294117
2945.6716417910447, 63.82352941176471
2944.4776119402986, 62.64705882352941
2939.10447761194, 62.35294117647059
2935.5223880597014, 62.64705882352941
2934.3283582089553, 61.76470588235294
2933.134328358209, 60.73529411764706
2931.3432835820895, 59.55882352941177
2931.3432835820895, 58.38235294117647
2930.1492537313434, 57.20588235294118
2928.3582089552237, 55.73529411764706
2925.9701492537315, 54.55882352941177
2925.9701492537315, 53.38235294117647
2924.776119402985, 52.20588235294118
2924.179104477612, 50.73529411764706
2922.9850746268658, 49.11764705882353
2922.9850746268658, 47.794117647058826
2922.3880597014927, 46.470588235294116
2921.194029850746, 45.14705882352941
2920, 43.529411764705884
2920, 42.5
2920, 40.88235294117647
2920, 39.411764705882355
2919.402985074627, 38.088235294117645
2918.208955223881, 36.911764705882355
2917.6119402985073, 35.73529411764706
2917.0149253731342, 33.970588235294116
2915.820895522388, 32.35294117647059
2914.0298507462685, 33.529411764705884
2913.4328358208954, 35.294117647058826
2913.4328358208954, 36.911764705882355
2913.4328358208954, 36.911764705882355
2913.4328358208954, 38.529411764705884
2912.2388059701493, 39.85294117647059
2912.2388059701493, 41.32352941176471
2912.2388059701493, 42.64705882352941
2911.6417910447763, 44.26470588235294
2911.044776119403, 45.58823529411765
2910.4477611940297, 46.470588235294116
2909.8507462686566, 47.94117647058824
2909.8507462686566, 49.70588235294118
2909.2537313432836, 50.58823529411765
2908.6567164179105, 52.5
2908.0597014925374, 53.970588235294116
2906.865671641791, 55.14705882352941
2906.268656716418, 56.029411764705884
2905.0746268656717, 57.64705882352941
2900.89552238806, 58.97058823529412
2894.9253731343283, 59.11764705882353
2894.9253731343283, 59.11764705882353
2893.134328358209, 60
2887.7611940298507, 61.029411764705884
2887.7611940298507, 61.029411764705884
2884.179104477612, 61.61764705882353
2878.805970149254, 62.20588235294118
2874.0298507462685, 62.5
2870.4477611940297, 63.529411764705884
2864.4776119402986, 62.794117647058826
2860.89552238806, 61.47058823529412
2857.313432835821, 60
2856.716417910448, 58.529411764705884
2855.5223880597014, 57.20588235294118
2853.134328358209, 54.55882352941177
2853.134328358209, 54.55882352941177
2852.5373134328356, 52.794117647058826
2851.9402985074626, 50.88235294117647
2851.3432835820895, 48.6764705882353
2851.3432835820895, 46.61764705882353
2850.1492537313434, 44.85294117647059
2850.1492537313434, 43.23529411764706
2850.1492537313434, 41.76470588235294
2849.5522388059703, 40.294117647058826
2847.1641791044776, 39.411764705882355
2845.9701492537315, 40.44117647058824
2846.5671641791046, 41.76470588235294
2845.9701492537315, 43.6764705882353
2845.9701492537315, 43.6764705882353
2845.373134328358, 45
2845.373134328358, 45
2845.373134328358, 46.029411764705884
2844.776119402985, 47.05882352941177
2843.582089552239, 48.23529411764706
2844.179104477612, 49.70588235294118
2844.179104477612, 49.70588235294118
2842.9850746268658, 50.88235294117647
2842.9850746268658, 52.20588235294118
2841.7910447761196, 53.38235294117647
2841.7910447761196, 55.294117647058826
2841.194029850746, 56.61764705882353
2841.194029850746, 57.794117647058826
2838.805970149254, 59.70588235294118
2838.805970149254, 61.029411764705884
2838.208955223881, 62.64705882352941
2837.6119402985073, 63.97058823529412
2834.0298507462685, 64.55882352941177
2829.8507462686566, 63.529411764705884
2825.0746268656717, 63.23529411764706
2823.283582089552, 64.11764705882354
2819.7014925373132, 64.26470588235294
2816.119402985075, 64.8529411764706
2814.3283582089553, 63.82352941176471
2807.7611940298507, 63.6764705882353
2805.9701492537315, 64.41176470588236
2801.194029850746, 63.82352941176471
2798.208955223881, 64.70588235294117
2793.4328358208954, 63.6764705882353
