Flach et al, J Phys Chem B, vol 101, no 1, 1997
Figure 3 - methylene stretching vib for p-polarization, RA @ 35 deg
wn, mRAU
2997.2752043597 86.08108108108108
2993.4604904632 86.08108108108108
2990.1907356948 85.67567567567568
2985.8310626703 85.67567567567568
2981.4713896458 85.94594594594595
2977.6566757493 85.54054054054055
2974.3869209809 85.67567567567568
2970.5722070845 85.27027027027027
  2966.757493188 85.27027027027027
2963.4877384196 84.45945945945947
2959.6730245232 83.78378378378379
2956.4032697548 84.05405405405406
2952.5885558583 84.45945945945947
2948.7738419619 84.45945945945947
2945.5040871935 84.45945945945947
2942.7792915531 83.78378378378379
2938.4196185286 83.37837837837839
2935.6948228883 82.56756756756758
  2932.970027248 81.75675675675676
2931.3351498638 80.94594594594595
2928.6103542234 79.72972972972974
2926.9754768392 78.51351351351352
  2925.340599455 77.2972972972973
  2924.795640327 76.08108108108108
2923.1607629428 74.86486486486487
2922.0708446866 73.51351351351352
2921.5258855586 72.16216216216216
2920.4359673025 70.94594594594595
2920.4359673025 69.72972972972974
2919.3460490463 68.51351351351352
2918.8010899183 67.2972972972973
2918.2561307902 66.21621621621622
2917.7111716621 65
2914.4414168937 63.64864864864865
2915.5313351499 62.83783783783784
2914.4414168937 63.64864864864865
2913.8964577657 64.72972972972973
2913.3514986376 66.21621621621622
2913.3514986376 67.02702702702703
2913.3514986376 67.83783783783784
2912.8065395095 68.78378378378379
2912.2615803815 69.86486486486487
2912.2615803815 71.35135135135135
2910.6267029973 72.16216216216216
2910.6267029973 73.10810810810811
2910.0817438692 73.91891891891892
2910.6267029973 74.86486486486487
2908.9918256131 75.54054054054055
2908.9918256131 76.35135135135135
  2908.446866485 77.16216216216216
2907.9019073569 78.10810810810811
2907.3569482289 79.05405405405406
2905.1771117166 80
2904.0871934605 80.81081081081082
2902.9972752044 81.62162162162163
2899.1825613079 82.16216216216216
2895.9128065395 82.56756756756758
  2891.553133515 82.2972972972973
2889.3732970027 82.83783783783784
2887.7384196185 83.51351351351352
2884.4686648501 83.10810810810811
2881.7438692098 83.51351351351352
2878.4741144414 83.64864864864866
2875.7493188011 84.1891891891892
2871.3896457766 83.91891891891892
  2867.029972752 83.64864864864866
2863.7602179837 83.24324324324324
2859.4005449591 82.70270270270271
2856.6757493188 81.75675675675676
2855.0408719346 80.81081081081082
2853.4059945504 79.72972972972974
2852.8610354223 78.78378378378379
2852.3160762943 77.56756756756756
2851.7711171662 76.48648648648648
2851.2261580381 75.4054054054054
2850.6811989101 74.1891891891892
 2850.136239782 72.83783783783784
 2850.136239782 71.8918918918919
2846.3215258856 70.94594594594595
2847.4114441417 69.72972972972974
2846.3215258856 70.94594594594595
2845.2316076294 71.8918918918919
2845.7765667575 73.37837837837839
2845.2316076294 74.1891891891892
2844.1416893733 75.27027027027027
2843.5967302452 76.35135135135135
2843.5967302452 77.2972972972973
2843.0517711172 78.24324324324324
2842.5068119891 79.45945945945947
 2841.961852861 80.4054054054054
 2841.416893733 81.35135135135135
2838.6920980926 82.56756756756758
2837.6021798365 83.51351351351352
2835.9673024523 84.32432432432432
2832.1525885559 84.5945945945946
2827.7929155313 85
2823.9782016349 84.72972972972974
2820.7084468665 85.13513513513514
  2816.89373297 85.27027027027027
2811.9891008174 85
2806.5395095368 85.13513513513514
2801.0899182561 85.13513513513514
2796.1852861035 85.27027027027027
2792.3705722071 85.13513513513514
2787.4659400545 85.4054054054054
2782.0163487738 85.4054054054054

