Flach et al, J Phys Chem B, vol 101, no 1, 1997
Figure 3 - methylene stretching vib for p-polarization, RA @ 40 deg
wn, mRAU
2998.3651226158 76.08108108108108
2995.0953678474 76.62162162162163
  2991.825613079 76.08108108108108
2989.1008174387 75.4054054054054
2984.7411444142 75.54054054054055
2980.9264305177 75.54054054054055
2977.1117166213 75.4054054054054
2972.2070844687 75.4054054054054
2967.8474114441 75.67567567567568
2964.5776566757 75.13513513513514
2962.3978201635 74.45945945945947
2959.1280653951 73.78378378378379
2956.9482288828 74.32432432432432
2953.1335149864 73.37837837837839
2951.4986376022 74.05405405405406
2947.6839237057 74.45945945945947
2944.9591280654 73.78378378378379
  2941.689373297 73.78378378378379
2938.4196185286 73.10810810810811
2935.1498637602 72.2972972972973
2932.4250681199 71.48648648648648
2930.2452316076 70.54054054054055
2928.6103542234 69.5945945945946
2928.0653950954 68.37837837837839
2925.8855585831 67.43243243243244
  2924.795640327 66.35135135135135
2923.7057220708 65.13513513513514
2923.1607629428 64.1891891891892
2923.1607629428 62.83783783783784
2922.6158038147 61.62162162162163
2920.9809264305 60.40540540540541
2920.4359673025 59.18918918918919
2920.4359673025 57.972972972972975
2919.3460490463 56.891891891891895
2918.8010899183 55.67567567567568
2918.2561307902 54.45945945945946
2918.2561307902 53.24324324324325
2917.1662125341 52.02702702702703
2916.0762942779 50.94594594594595
2913.3514986376 51.351351351351354
2913.3514986376 52.83783783783784
2913.3514986376 52.83783783783784
2913.3514986376 53.64864864864865
2913.3514986376 54.86486486486487
2912.8065395095 55.810810810810814
2912.2615803815 57.02702702702703
2911.1716621253 58.10810810810811
2911.7166212534 59.32432432432433
2911.1716621253 60.40540540540541
2910.0817438692 61.62162162162163
2909.5367847411 62.56756756756757
  2908.446866485 63.91891891891892
  2908.446866485 65.27027027027027
2907.9019073569 66.08108108108108
2906.8119891008 67.16216216216216
2905.7220708447 67.97297297297298
2903.5422343324 68.78378378378379
2901.9073569482 69.5945945945946
2897.0027247956 70.27027027027027
2897.0027247956 70.27027027027027
2895.3678474114 71.08108108108108
2892.0980926431 71.08108108108108
2890.4632152589 71.8918918918919
2886.6485013624 71.75675675675676
2882.8337874659 72.16216216216216
2881.1989100817 72.97297297297298
2877.3841961853 73.64864864864866
2873.0245231608 73.37837837837839
2868.6648501362 73.10810810810811
2864.3051771117 73.37837837837839
2862.1253405995 72.56756756756756
2859.4005449591 71.75675675675676
2857.7656675749 70.67567567567568
2856.1307901907 69.72972972972974
2855.0408719346 68.78378378378379
2853.4059945504 67.56756756756756
2852.8610354223 66.35135135135135
2852.3160762943 65
2852.3160762943 64.1891891891892
2851.2261580381 63.24324324324325
2851.2261580381 62.02702702702703
2850.6811989101 60.54054054054055
 2850.136239782 59.32432432432433
2849.0463215259 58.37837837837838
2849.0463215259 57.16216216216217
2846.8664850136 56.351351351351354
2848.5013623978 55.40540540540541
2845.7765667575 57.16216216216217
2845.7765667575 58.78378378378379
2845.2316076294 60
2844.6866485014 61.351351351351354
2844.6866485014 63.10810810810811
2844.6866485014 63.10810810810811
2843.0517711172 64.32432432432432
2843.5967302452 66.21621621621622
2842.5068119891 67.2972972972973
 2841.961852861 68.37837837837839
 2841.961852861 69.32432432432432
2840.8719346049 70.13513513513514
2840.8719346049 71.08108108108108
2839.7820163488 72.16216216216216
2838.1471389646 73.24324324324324
2835.9673024523 73.78378378378379
2832.6975476839 74.32432432432432
2827.7929155313 74.45945945945947
2821.7983651226 74.32432432432432
2817.4386920981 74.32432432432432
2814.7138964578 74.72972972972974
2811.9891008174 75.27027027027027
 2808.174386921 74.86486486486487
2804.3596730245 74.5945945945946
           2800 74.5945945945946
2795.6403269755 75
2790.7356948229 74.86486486486487
2784.1961852861 75.27027027027027
2784.1961852861 75.27027027027027

